City,Datetime,AQI,year
Delhi,2021-01-01,152.7,2021
Mumbai,2021-01-01,90.6,2021
Chennai,2021-01-01,340.8,2021
Kolkata,2021-01-01,377.5,2021
Bangalore,2021-01-01,30.0,2021
Delhi,2021-01-02,326.4,2021
Mumbai,2021-01-02,489.4,2021
Chennai,2021-01-02,438.8,2021
Kolkata,2021-01-02,310.7,2021
Bangalore,2021-01-02,34.5,2021
Delhi,2021-01-03,390.2,2021
Mumbai,2021-01-03,176.4,2021
Chennai,2021-01-03,372.5,2021
Kolkata,2021-01-03,26.9,2021
Bangalore,2021-01-03,105.5,2021
Delhi,2021-01-04,61.6,2021
Mumbai,2021-01-04,252.7,2021
Chennai,2021-01-04,17.0,2021
Kolkata,2021-01-04,368.7,2021
Bangalore,2021-01-04,297.4,2021
Delhi,2021-01-05,410.5,2021
Mumbai,2021-01-05,166.8,2021
Chennai,2021-01-05,192.6,2021
Kolkata,2021-01-05,50.8,2021
Bangalore,2021-01-05,183.1,2021
Delhi,2021-01-06,273.6,2021
Mumbai,2021-01-06,265.6,2021
Chennai,2021-01-06,499.7,2021
Kolkata,2021-01-06,210.0,2021
Bangalore,2021-01-06,108.5,2021
Delhi,2021-01-07,448.2,2021
Mumbai,2021-01-07,49.2,2021
Chennai,2021-01-07,287.4,2021
Kolkata,2021-01-07,161.5,2021
Bangalore,2021-01-07,178.4,2021
Delhi,2021-01-08,244.4,2021
Mumbai,2021-01-08,79.3,2021
Chennai,2021-01-08,17.2,2021
Kolkata,2021-01-08,308.2,2021
Bangalore,2021-01-08,53.0,2021
Delhi,2021-01-09,482.6,2021
Mumbai,2021-01-09,433.4,2021
Chennai,2021-01-09,65.6,2021
Kolkata,2021-01-09,491.7,2021
Bangalore,2021-01-09,492.7,2021
Delhi,2021-01-10,475.9,2021
Mumbai,2021-01-10,372.7,2021
Chennai,2021-01-10,404.7,2021
Kolkata,2021-01-10,205.9,2021
Bangalore,2021-01-10,134.3,2021
Delhi,2021-01-11,265.6,2021
Mumbai,2021-01-11,397.9,2021
Chennai,2021-01-11,111.6,2021
Kolkata,2021-01-11,493.9,2021
Bangalore,2021-01-11,143.9,2021
Delhi,2021-01-12,250.9,2021
Mumbai,2021-01-12,181.2,2021
Chennai,2021-01-12,191.3,2021
Kolkata,2021-01-12,395.9,2021
Bangalore,2021-01-12,107.0,2021
Delhi,2021-01-13,18.8,2021
Mumbai,2021-01-13,359.6,2021
Chennai,2021-01-13,359.6,2021
Kolkata,2021-01-13,249.1,2021
Bangalore,2021-01-13,48.4,2021
Delhi,2021-01-14,195.7,2021
Mumbai,2021-01-14,464.7,2021
Chennai,2021-01-14,377.7,2021
Kolkata,2021-01-14,440.2,2021
Bangalore,2021-01-14,213.8,2021
Delhi,2021-01-15,413.4,2021
