City,Datetime,AQI,year
Delhi,2015-01-01,204.5,2015
Mumbai,2015-01-01,60.9,2015
Chennai,2015-01-01,486.5,2015
Kolkata,2015-01-01,174.4,2015
Bangalore,2015-01-01,489.7,2015
Delhi,2015-01-02,238.5,2015
Mumbai,2015-01-02,254.9,2015
Chennai,2015-01-02,171.7,2015
Kolkata,2015-01-02,139.8,2015
Bangalore,2015-01-02,243.3,2015
Delhi,2015-01-03,77.6,2015
Mumbai,2015-01-03,37.9,2015
Chennai,2015-01-03,394.8,2015
Kolkata,2015-01-03,491.8,2015
Bangalore,2015-01-03,148.5,2015
Delhi,2015-01-04,85.4,2015
Mumbai,2015-01-04,78.5,2015
Chennai,2015-01-04,286.1,2015
Kolkata,2015-01-04,119.5,2015
Bangalore,2015-01-04,423.3,2015
Delhi,2015-01-05,396.8,2015
Mumbai,2015-01-05,30.7,2015
Chennai,2015-01-05,108.8,2015
Kolkata,2015-01-05,473.1,2015
Bangalore,2015-01-05,119.5,2015
Delhi,2015-01-06,360.3,2015
Mumbai,2015-01-06,496.9,2015
Chennai,2015-01-06,387.9,2015
Kolkata,2015-01-06,15.0,2015
Bangalore,2015-01-06,120.7,2015
Delhi,2015-01-07,370.3,2015
Mumbai,2015-01-07,337.9,2015
Chennai,2015-01-07,0.7,2015
Kolkata,2015-01-07,493.6,2015
Bangalore,2015-01-07,421.8,2015
Delhi,2015-01-08,230.7,2015
Mumbai,2015-01-08,106.1,2015
Chennai,2015-01-08,478.4,2015
Kolkata,2015-01-08,82.2,2015
Bangalore,2015-01-08,487.3,2015
Delhi,2015-01-09,53.6,2015
Mumbai,2015-01-09,278.9,2015
Chennai,2015-01-09,91.2,2015
Kolkata,2015-01-09,5.9,2015
Bangalore,2015-01-09,8.0,2015
Delhi,2015-01-10,29.9,2015
Mumbai,2015-01-10,15.9,2015
Chennai,2015-01-10,98.5,2015
Kolkata,2015-01-10,446.7,2015
Bangalore,2015-01-10,275.2,2015
Delhi,2015-01-11,450.2,2015
Mumbai,2015-01-11,435.5,2015
Chennai,2015-01-11,413.3,2015
Kolkata,2015-01-11,168.6,2015
Bangalore,2015-01-11,418.5,2015
Delhi,2015-01-12,467.8,2015
Mumbai,2015-01-12,457.6,2015
Chennai,2015-01-12,212.3,2015
Kolkata,2015-01-12,475.9,2015
Bangalore,2015-01-12,69.7,2015
Delhi,2015-01-13,265.3,2015
Mumbai,2015-01-13,387.8,2015
Chennai,2015-01-13,274.9,2015
Kolkata,2015-01-13,168.9,2015
Bangalore,2015-01-13,100.7,2015
Delhi,2015-01-14,361.0,2015
Mumbai,2015-01-14,72.4,2015
Chennai,2015-01-14,358.0,2015
Kolkata,2015-01-14,89.7,2015
Bangalore,2015-01-14,374.0,2015
Delhi,2015-01-15,481.7,2015
Mumbai,2015-01-15,229.4,2015
Chennai,2015-01-15,265.3,2015
Kolkata,2015-01-15,464.6,2015
Bangalore,2015-01-15,499.4,2015
Delhi,2015-01-16,240.1,2015
Mumbai,2015-01-16,159.3,2015
Chennai,2015-01-16,351.5,2015
Kolkata,2015-01-16,255.0,2015
Bangalore,2015-01-16,261.6,2015
Delhi,2015-01-17,257.4,2015
Mumbai,2015-01-17,113.0,2015
Chennai,2015-01-17,39.3,2015
Kolkata,2015-01-17,234.2,2015
Bangalore,2015-01-17,3.8,2015
Delhi,2015-01-18,439.8,2015
Mumbai,2015-01-18,423.4,2015
Chennai,2015-01-18,306.6,2015
Kolkata,2015-01-18,224.7,2015
Bangalore,2015-01-18,104.3,2015
Delhi,2015-01-19,102.0,2015
Mumbai,2015-01-19,290.0,2015
Chennai,2015-01-19,437.1,2015
Kolkata,2015-01-19,467.9,2015
Bangalore,2015-01-19,273.1,2015
Delhi,2015-01-20,374.5,2015
Mumbai,2015-01-20,132.0,2015
Chennai,2015-01-20,157.2,2015
Kolkata,2015-01-20,207.0,2015
Bangalore,2015-01-20,38.1,2015
Delhi,2015-01-21,192.3,2015
Mumbai,2015-01-21,86.5,2015
Chennai,2015-01-21,357.6,2015
Kolkata,2015-01-21,440.5,2015
Bangalore,2015-01-21,384.3,2015
Delhi,2015-01-22,126.7,2015
Mumbai,2015-01-22,10.8,2015
Chennai,2015-01-22,270.2,2015
Kolkata,2015-01-22,85.0,2015
Bangalore,2015-01-22,22.1,2015
Delhi,2015-01-23,362.2,2015
Mumbai,2015-01-23,440.9,2015
Chennai,2015-01-23,431.1,2015
Kolkata,2015-01-23,87.5,2015
Bangalore,2015-01-23,286.9,2015
Delhi,2015-01-24,288.8,2015
Mumbai,2015-01-24,86.1,2015
Chennai,2015-01-24,251.4,2015
Kolkata,2015-01-24,130.4,2015
Bangalore,2015-01-24,105.6,2015
Delhi,2015-01-25,148.4,2015
Mumbai,2015-01-25,130.4,2015
Chennai,2015-01-25,45.3,2015
Kolkata,2015-01-25,119.2,2015
Bangalore,2015-01-25,390.6,2015
Delhi,2015-01-26,260.0,2015
Mumbai,2015-01-26,147.6,2015
Chennai,2015-01-26,415.6,2015
Kolkata,2015-01-26,264.2,2015
Bangalore,2015-01-26,319.9,2015
Delhi,2015-01-27,225.8,2015
Mumbai,2015-01-27,312.3,2015
Chennai,2015-01-27,22.0,2015
Kolkata,2015-01-27,213.1,2015
Bangalore,2015-01-27,78.7,2015
Delhi,2015-01-28,260.7,2015
Mumbai,2015-01-28,95.2,2015
Chennai,2015-01-28,211.9,2015
Kolkata,2015-01-28,128.0,2015
Bangalore,2015-01-28,92.9,2015
Delhi,2015-01-29,44.1,2015
Mumbai,2015-01-29,130.6,2015
Chennai,2015-01-29,441.9,2015
Kolkata,2015-01-29,218.0,2015
Bangalore,2015-01-29,232.0,2015
Delhi,2015-01-30,337.9,2015
Mumbai,2015-01-30,248.6,2015
Chennai,2015-01-30,150.2,2015
Kolkata,2015-01-30,133.6,2015
Bangalore,2015-01-30,493.9,2015
Delhi,2015-01-31,489.9,2015
Mumbai,2015-01-31,470.9,2015
Chennai,2015-01-31,40.6,2015
Kolkata,2015-01-31,81.5,2015
Bangalore,2015-01-31,432.3,2015
Delhi,2015-02-01,447.5,2015
Mumbai,2015-02-01,87.4,2015
Chennai,2015-02-01,102.3,2015
Kolkata,2015-02-01,266.8,2015
Bangalore,2015-02-01,211.4,2015
Delhi,2015-02-02,266.8,2015
Mumbai,2015-02-02,108.9,2015
Chennai,2015-02-02,215.4,2015
Kolkata,2015-02-02,274.5,2015
Bangalore,2015-02-02,480.9,2015
Delhi,2015-02-03,40.7,2015
Mumbai,2015-02-03,469.0,2015
Chennai,2015-02-03,373.9,2015
Kolkata,2015-02-03,472.3,2015
Bangalore,2015-02-03,235.7,2015
Delhi,2015-02-04,365.4,2015
Mumbai,2015-02-04,95.5,2015
Chennai,2015-02-04,118.3,2015
Kolkata,2015-02-04,409.8,2015
Bangalore,2015-02-04,377.2,2015
Delhi,2015-02-05,37.6,2015
Mumbai,2015-02-05,139.7,2015
Chennai,2015-02-05,97.2,2015
Kolkata,2015-02-05,62.8,2015
Bangalore,2015-02-05,6.0,2015
Delhi,2015-02-06,52.3,2015
Mumbai,2015-02-06,435.7,2015
Chennai,2015-02-06,62.2,2015
Kolkata,2015-02-06,235.0,2015
Bangalore,2015-02-06,93.3,2015
Delhi,2015-02-07,261.6,2015
Mumbai,2015-02-07,236.4,2015
Chennai,2015-02-07,343.3,2015
Kolkata,2015-02-07,456.4,2015
Bangalore,2015-02-07,173.3,2015
Delhi,2015-02-08,311.0,2015
Mumbai,2015-02-08,399.2,2015
Chennai,2015-02-08,312.7,2015
Kolkata,2015-02-08,358.7,2015
Bangalore,2015-02-08,205.0,2015
Delhi,2015-02-09,326.7,2015
Mumbai,2015-02-09,489.2,2015
Chennai,2015-02-09,164.2,2015
Kolkata,2015-02-09,38.1,2015
Bangalore,2015-02-09,64.4,2015
Delhi,2015-02-10,437.3,2015
Mumbai,2015-02-10,352.7,2015
Chennai,2015-02-10,474.7,2015
Kolkata,2015-02-10,295.8,2015
Bangalore,2015-02-10,440.1,2015
Delhi,2015-02-11,26.7,2015
Mumbai,2015-02-11,493.6,2015
Chennai,2015-02-11,496.7,2015
Kolkata,2015-02-11,306.8,2015
Bangalore,2015-02-11,367.5,2015
Delhi,2015-02-12,413.9,2015
Mumbai,2015-02-12,300.9,2015
Chennai,2015-02-12,209.8,2015
Kolkata,2015-02-12,453.4,2015
Bangalore,2015-02-12,355.9,2015
Delhi,2015-02-13,205.5,2015
Mumbai,2015-02-13,44.8,2015
Chennai,2015-02-13,426.9,2015
Kolkata,2015-02-13,486.9,2015
Bangalore,2015-02-13,330.6,2015
Delhi,2015-02-14,493.5,2015
Mumbai,2015-02-14,299.8,2015
Chennai,2015-02-14,142.1,2015
Kolkata,2015-02-14,14.4,2015
Bangalore,2015-02-14,75.0,2015
Delhi,2015-02-15,9.8,2015
Mumbai,2015-02-15,295.7,2015
Chennai,2015-02-15,79.6,2015
Kolkata,2015-02-15,85.7,2015
Bangalore,2015-02-15,52.2,2015
Delhi,2015-02-16,118.1,2015
Mumbai,2015-02-16,334.3,2015
Chennai,2015-02-16,182.1,2015
Kolkata,2015-02-16,482.7,2015
Bangalore,2015-02-16,274.3,2015
Delhi,2015-02-17,464.4,2015
Mumbai,2015-02-17,488.4,2015
Chennai,2015-02-17,152.5,2015
Kolkata,2015-02-17,157.2,2015
Bangalore,2015-02-17,125.1,2015
Delhi,2015-02-18,208.6,2015
Mumbai,2015-02-18,182.3,2015
Chennai,2015-02-18,71.1,2015
Kolkata,2015-02-18,334.6,2015
Bangalore,2015-02-18,340.5,2015
Delhi,2015-02-19,456.4,2015
Mumbai,2015-02-19,144.6,2015
Chennai,2015-02-19,343.2,2015
Kolkata,2015-02-19,53.2,2015
Bangalore,2015-02-19,290.1,2015
Delhi,2015-02-20,16.1,2015
Mumbai,2015-02-20,31.3,2015
Chennai,2015-02-20,232.3,2015
Kolkata,2015-02-20,40.3,2015
Bangalore,2015-02-20,110.2,2015
Delhi,2015-02-21,412.8,2015
Mumbai,2015-02-21,385.8,2015
Chennai,2015-02-21,120.8,2015
Kolkata,2015-02-21,393.7,2015
Bangalore,2015-02-21,253.4,2015
Delhi,2015-02-22,136.1,2015
Mumbai,2015-02-22,247.3,2015
Chennai,2015-02-22,229.0,2015
Kolkata,2015-02-22,314.5,2015
Bangalore,2015-02-22,362.5,2015
Delhi,2015-02-23,305.5,2015
Mumbai,2015-02-23,156.0,2015
Chennai,2015-02-23,337.3,2015
Kolkata,2015-02-23,65.5,2015
Bangalore,2015-02-23,13.2,2015
Delhi,2015-02-24,286.3,2015
Mumbai,2015-02-24,18.8,2015
Chennai,2015-02-24,189.6,2015
Kolkata,2015-02-24,237.2,2015
Bangalore,2015-02-24,95.9,2015
Delhi,2015-02-25,110.8,2015
Mumbai,2015-02-25,161.3,2015
Chennai,2015-02-25,464.3,2015
Kolkata,2015-02-25,393.7,2015
Bangalore,2015-02-25,227.2,2015
Delhi,2015-02-26,465.8,2015
Mumbai,2015-02-26,440.4,2015
Chennai,2015-02-26,151.7,2015
Kolkata,2015-02-26,92.5,2015
Bangalore,2015-02-26,492.4,2015
Delhi,2015-02-27,335.7,2015
Mumbai,2015-02-27,119.2,2015
Chennai,2015-02-27,182.1,2015
Kolkata,2015-02-27,442.5,2015
Bangalore,2015-02-27,160.5,2015
Delhi,2015-02-28,295.8,2015
Mumbai,2015-02-28,491.4,2015
Chennai,2015-02-28,54.0,2015
Kolkata,2015-02-28,283.9,2015
Bangalore,2015-02-28,408.3,2015
Delhi,2015-03-01,353.7,2015
Mumbai,2015-03-01,373.9,2015
Chennai,2015-03-01,489.1,2015
Kolkata,2015-03-01,195.5,2015
Bangalore,2015-03-01,464.8,2015
Delhi,2015-03-02,108.5,2015
Mumbai,2015-03-02,462.3,2015
Chennai,2015-03-02,61.1,2015
Kolkata,2015-03-02,72.2,2015
Bangalore,2015-03-02,123.4,2015
Delhi,2015-03-03,142.4,2015
Mumbai,2015-03-03,472.2,2015
Chennai,2015-03-03,171.8,2015
Kolkata,2015-03-03,288.6,2015
Bangalore,2015-03-03,225.8,2015
Delhi,2015-03-04,19.2,2015
Mumbai,2015-03-04,224.8,2015
Chennai,2015-03-04,179.9,2015
Kolkata,2015-03-04,481.8,2015
Bangalore,2015-03-04,12.5,2015
Delhi,2015-03-05,103.7,2015
Mumbai,2015-03-05,365.9,2015
Chennai,2015-03-05,366.1,2015
Kolkata,2015-03-05,373.9,2015
Bangalore,2015-03-05,275.8,2015
Delhi,2015-03-06,497.7,2015
Mumbai,2015-03-06,442.2,2015
Chennai,2015-03-06,442.4,2015
Kolkata,2015-03-06,158.1,2015
Bangalore,2015-03-06,425.8,2015
Delhi,2015-03-07,172.7,2015
Mumbai,2015-03-07,174.2,2015
Chennai,2015-03-07,369.9,2015
Kolkata,2015-03-07,211.5,2015
Bangalore,2015-03-07,204.0,2015
Delhi,2015-03-08,68.1,2015
Mumbai,2015-03-08,386.4,2015
Chennai,2015-03-08,492.1,2015
Kolkata,2015-03-08,453.3,2015
Bangalore,2015-03-08,10.2,2015
Delhi,2015-03-09,368.9,2015
Mumbai,2015-03-09,166.8,2015
Chennai,2015-03-09,457.5,2015
Kolkata,2015-03-09,173.5,2015
Bangalore,2015-03-09,498.0,2015
Delhi,2015-03-10,20.8,2015
Mumbai,2015-03-10,111.1,2015
Chennai,2015-03-10,443.5,2015
Kolkata,2015-03-10,457.2,2015
Bangalore,2015-03-10,472.6,2015
Delhi,2015-03-11,246.4,2015
Mumbai,2015-03-11,101.4,2015
Chennai,2015-03-11,438.7,2015
Kolkata,2015-03-11,359.3,2015
Bangalore,2015-03-11,246.5,2015
Delhi,2015-03-12,376.3,2015
Mumbai,2015-03-12,63.4,2015
Chennai,2015-03-12,320.3,2015
Kolkata,2015-03-12,321.1,2015
Bangalore,2015-03-12,183.3,2015
Delhi,2015-03-13,176.3,2015
Mumbai,2015-03-13,243.9,2015
Chennai,2015-03-13,389.9,2015
Kolkata,2015-03-13,154.1,2015
Bangalore,2015-03-13,316.6,2015
Delhi,2015-03-14,74.1,2015
Mumbai,2015-03-14,74.5,2015
Chennai,2015-03-14,280.4,2015
Kolkata,2015-03-14,277.6,2015
Bangalore,2015-03-14,391.4,2015
Delhi,2015-03-15,467.3,2015
Mumbai,2015-03-15,376.4,2015
Chennai,2015-03-15,216.5,2015
Kolkata,2015-03-15,357.2,2015
Bangalore,2015-03-15,486.2,2015
Delhi,2015-03-16,436.1,2015
Mumbai,2015-03-16,90.3,2015
Chennai,2015-03-16,142.2,2015
Kolkata,2015-03-16,100.9,2015
Bangalore,2015-03-16,157.5,2015
Delhi,2015-03-17,42.4,2015
Mumbai,2015-03-17,490.5,2015
Chennai,2015-03-17,235.2,2015
Kolkata,2015-03-17,477.9,2015
Bangalore,2015-03-17,289.5,2015
Delhi,2015-03-18,403.6,2015
Mumbai,2015-03-18,426.5,2015
Chennai,2015-03-18,195.5,2015
Kolkata,2015-03-18,256.2,2015
Bangalore,2015-03-18,31.3,2015
Delhi,2015-03-19,280.8,2015
Mumbai,2015-03-19,225.9,2015
Chennai,2015-03-19,338.2,2015
Kolkata,2015-03-19,446.3,2015
Bangalore,2015-03-19,360.9,2015
Delhi,2015-03-20,295.2,2015
Mumbai,2015-03-20,431.5,2015
Chennai,2015-03-20,342.6,2015
Kolkata,2015-03-20,111.0,2015
Bangalore,2015-03-20,84.1,2015
Delhi,2015-03-21,104.5,2015
Mumbai,2015-03-21,316.9,2015
Chennai,2015-03-21,314.9,2015
Kolkata,2015-03-21,207.3,2015
Bangalore,2015-03-21,440.6,2015
Delhi,2015-03-22,216.1,2015
Mumbai,2015-03-22,225.6,2015
Chennai,2015-03-22,143.8,2015
Kolkata,2015-03-22,215.9,2015
Bangalore,2015-03-22,81.5,2015
Delhi,2015-03-23,271.9,2015
Mumbai,2015-03-23,373.6,2015
Chennai,2015-03-23,406.2,2015
Kolkata,2015-03-23,284.6,2015
Bangalore,2015-03-23,299.1,2015
Delhi,2015-03-24,34.5,2015
Mumbai,2015-03-24,276.0,2015
Chennai,2015-03-24,52.5,2015
Kolkata,2015-03-24,223.5,2015
Bangalore,2015-03-24,80.3,2015
Delhi,2015-03-25,251.1,2015
Mumbai,2015-03-25,47.8,2015
Chennai,2015-03-25,152.2,2015
Kolkata,2015-03-25,448.7,2015
Bangalore,2015-03-25,380.6,2015
Delhi,2015-03-26,359.0,2015
Mumbai,2015-03-26,58.3,2015
Chennai,2015-03-26,63.6,2015
Kolkata,2015-03-26,442.9,2015
Bangalore,2015-03-26,160.2,2015
Delhi,2015-03-27,35.4,2015
Mumbai,2015-03-27,274.9,2015
Chennai,2015-03-27,153.6,2015
Kolkata,2015-03-27,484.3,2015
Bangalore,2015-03-27,41.5,2015
Delhi,2015-03-28,376.7,2015
Mumbai,2015-03-28,144.2,2015
Chennai,2015-03-28,83.8,2015
Kolkata,2015-03-28,494.4,2015
Bangalore,2015-03-28,7.1,2015
Delhi,2015-03-29,405.4,2015
Mumbai,2015-03-29,484.4,2015
Chennai,2015-03-29,406.5,2015
Kolkata,2015-03-29,283.4,2015
Bangalore,2015-03-29,202.1,2015
Delhi,2015-03-30,239.5,2015
Mumbai,2015-03-30,376.7,2015
Chennai,2015-03-30,183.3,2015
Kolkata,2015-03-30,260.0,2015
Bangalore,2015-03-30,201.8,2015
Delhi,2015-03-31,220.9,2015
Mumbai,2015-03-31,351.0,2015
Chennai,2015-03-31,248.3,2015
Kolkata,2015-03-31,93.6,2015
Bangalore,2015-03-31,490.5,2015
Delhi,2015-04-01,155.8,2015
Mumbai,2015-04-01,35.2,2015
Chennai,2015-04-01,393.5,2015
Kolkata,2015-04-01,496.9,2015
Bangalore,2015-04-01,67.7,2015
Delhi,2015-04-02,420.4,2015
Mumbai,2015-04-02,87.3,2015
Chennai,2015-04-02,120.4,2015
Kolkata,2015-04-02,326.7,2015
Bangalore,2015-04-02,16.6,2015
Delhi,2015-04-03,87.4,2015
Mumbai,2015-04-03,126.9,2015
Chennai,2015-04-03,262.7,2015
Kolkata,2015-04-03,481.8,2015
